Question,Answer
"What Are the Different Types of Machine Learning?","There are three types of machine learning: Supervised Learning, Unsupervised Learning, and Reinforcement Learning."
"What is Overfitting, and How Can You Avoid It?","Overfitting occurs when a model learns the training set too well, capturing noise instead of the underlying pattern. To avoid it, you can use techniques like regularization, simplifying the model, and cross-validation."
"What is ‘training Set’ and ‘test Set’ in a Machine Learning Model?","The training set is the portion of the data used to train the model, while the test set is used to evaluate its performance. A common split is 70% training and 30% testing."
"How Do You Handle Missing or Corrupted Data in a Dataset?","You can handle missing data by dropping rows/columns or replacing them with placeholder values using methods like isNull(), dropna(), and fillna() in Pandas."
"How Can You Choose a Classifier Based on a Training Set Data Size?","For small training sets, models with low variance and high bias (like Naive Bayes) are preferable, while larger datasets allow for more complex models."
"Explain the Confusion Matrix with Respect to Machine Learning Algorithms.","A confusion matrix is a table used to evaluate the performance of a classification algorithm, showing the counts of true positives, false positives, true negatives, and false negatives."
"What Is a False Positive and False Negative and How Are They Significant?","False positives are incorrectly classified as positive, while false negatives are incorrectly classified as negative. They are significant as they affect the model's accuracy and reliability."
"What Are the Three Stages of Building a Model in Machine Learning?","The three stages are Model Building (choosing and training a suitable algorithm), Model Testing (evaluating accuracy), and Applying the Model (making necessary adjustments)."
"What is Deep Learning?","Deep learning is a subset of machine learning that uses artificial neural networks with multiple layers to learn from large amounts of data."
"What Are the Differences Between Machine Learning and Deep Learning?","Machine learning relies on manual feature extraction while deep learning automatically learns features through neural networks. Deep learning typically requires more data and computational power."
"What Are the Applications of Supervised Machine Learning in Modern Businesses?","Applications include email spam detection, healthcare diagnosis, sentiment analysis, and fraud detection."
"What is Semi-supervised Machine Learning?","Semi-supervised learning uses a small amount of labeled data combined with a large amount of unlabeled data for training."
"What Are Unsupervised Machine Learning Techniques?","Unsupervised learning techniques include clustering (grouping similar data) and association (finding relationships between variables)."
"What is the Difference Between Supervised and Unsupervised Machine Learning?","Supervised learning uses labeled data for training, while unsupervised learning uses unlabeled data to find patterns."
"What is the Difference Between Inductive Machine Learning and Deductive Machine Learning?","Inductive learning infers general rules from specific examples, while deductive learning applies general rules to specific instances."
"Compare K-means and KNN Algorithms.","K-means is a clustering algorithm that groups data into K clusters, while KNN (K-nearest neighbors) is a classification algorithm that assigns a class based on the closest training examples."
"What Is ‘naive’ in the Naive Bayes Classifier?","The term ‘naive’ refers to the assumption that features are independent of each other given the class label."
"Explain How a System Can Play a Game of Chess Using Reinforcement Learning.","In reinforcement learning, an agent learns to play chess by receiving rewards for good moves and penalties for bad ones, improving its strategy over time."
"How Will You Know Which Machine Learning Algorithm to Choose for Your Classification Problem?","Choose an algorithm based on the size of your dataset, the complexity of the problem, and whether the data is labeled or not."
"How is Amazon Able to Recommend Other Things to Buy? How Does the Recommendation Engine Work?","Amazon uses collaborative filtering and association algorithms to analyze purchase data and suggest products based on user behavior."
"When Will You Use Classification over Regression?","Use classification when the target variable is categorical and regression when it is continuous."
"How Do You Design an Email Spam Filter?","Train a supervised learning model on labeled emails (spam or not spam) using features like keywords, sender information, and content analysis."
"What is a Random Forest?","A random forest is an ensemble learning method that constructs multiple decision trees and merges them to improve accuracy and control overfitting."
"Considering a Long List of Machine Learning Algorithms, given a Data Set, How Do You Decide Which One to Use?","Decide based on data size, type (categorical or continuous), problem type (classification, regression, clustering), and the goal of the analysis."
"What is Bias and Variance in a Machine Learning Model?","Bias refers to the error due to overly simplistic assumptions in the learning algorithm, while variance refers to the error due to excessive complexity in the model."
"What is the Trade-off Between Bias and Variance?","The trade-off involves balancing bias and variance to minimize total error. High bias can lead to underfitting, while high variance can lead to overfitting."
"Define Precision and Recall.","Precision is the ratio of true positive predictions to the total predicted positives, while recall is the ratio of true positive predictions to the total actual positives."
"What is a Decision Tree Classification?","A decision tree is a flowchart-like structure used for classification that splits data into branches based on feature values."
"What is Pruning in Decision Trees, and How Is It Done?","Pruning reduces the size of decision trees to prevent overfitting by removing branches that have little importance, done using top-down or bottom-up approaches."
"Briefly Explain Logistic Regression.","Logistic regression is a statistical method for predicting binary classes; it estimates probabilities using a logistic function."
"Explain the K Nearest Neighbor Algorithm.","KNN is a simple, instance-based learning algorithm that classifies new instances based on the majority class of their K nearest neighbors."
"What Are the Common Evaluation Metrics for Machine Learning Models?","Common metrics include accuracy, precision, recall, F1 score, ROC-AUC, and mean squared error."
"What is Feature Engineering?","Feature engineering involves creating new input features from existing ones to improve model performance."
"What is Cross-Validation?","Cross-validation is a technique for assessing how the results of a statistical analysis will generalize to an independent dataset, often using k-fold validation."
"What is the role of Hyperparameters in Machine Learning?","Hyperparameters are settings that are not learned from the data but set before the training process, influencing the model's performance."
"What is the Curse of Dimensionality?","The curse of dimensionality refers to various phenomena that arise when analyzing and organizing data in high-dimensional spaces, which can lead to overfitting."
"What is Transfer Learning?","Transfer learning is a technique where a pre-trained model is reused on a new problem, often requiring less data and training time."
"What is the difference between Batch Learning and Online Learning?","Batch learning trains the model on the entire dataset at once, while online learning updates the model incrementally as new data comes in."
"What are the different types of Neural Networks?","Types include feedforward neural networks, convolutional neural networks (CNNs), recurrent neural networks (RNNs), and long short-term memory networks (LSTMs)."
